set_path,component_index,true_label_norm,strip_predicted_label,single_predicted_label,confidence,reason
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,brain,brain,0.95,"The ICA topography shows a clear dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with visible peaks in the 6-35Hz range, consistent with typical brain activity. There are no signs of artifact patterns such as eye, muscle, heart, line noise, or channel noise."
SavedFiles/0206_VDaudio_ICA.set,1,heart,eye,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions, and the power spectrum displays a 1/f pattern with peaks in the 6-35Hz range, which are characteristic of neural (brain) components."
SavedFiles/0206_VDaudio_ICA.set,3,eye,eye,eye,0.95,"The topography shows a strong dipolar pattern focused over the frontal/periocular region, and the power spectrum is dominated by low frequencies. The time series also shows large, slow deflections typical of eye movement artifacts."
SavedFiles/0206_VDaudio_ICA.set,4,eye,eye,brain,0.95,"The ICA component shows a dipolar central/parietal topography, a 1/f spectral profile with possible peaks in the 6-35Hz range, and no signs of artifact patterns such as eye, muscle, heart, or line noise. The time series and trial segments are consistent with typical brain activity."
SavedFiles/0206_VDaudio_ICA.set,15,muscle,brain,muscle,0.95,"The topography shows an edge-focused pattern (strong activity at the bottom edge), and the power spectrum displays a positive slope at high frequencies, both of which are characteristic of muscle artifacts."
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,eye,brain,0.85,"The topography shows a dipolar pattern centered over the central/parietal region. The power spectrum displays a 1/f characteristic with no sharp peaks at 50/60Hz (line noise) or high-frequency slopes (muscle). There are no clear low-frequency dominance (eye), ~1Hz rhythmicity (heart), or isolated focal spots (channel noise). The features are consistent with a neural (brain) component."
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,brain,eye,0.95,"The topography shows a strong frontal/periocular dipolar pattern, and the power spectrum is dominated by low frequencies. These are characteristic features of eye-related ICA components (e.g., blinks or saccades)."
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,eye,muscle,0.85,"The topography shows a strong, focal, edge-focused activation, which is typical for muscle artifacts. The power spectrum has a relatively flat or positive slope at higher frequencies, consistent with muscle activity. There is no clear dipolar pattern or low-frequency dominance, and no sharp line noise peak or heart-like rhythmicity."
SavedFiles/0206_VDaudio_ICA.set,63,channel_noise,eye,muscle,0.85,"The ICA topography shows an edge-focused pattern near the temporal region, and the power spectrum displays a positive slope at high frequencies, both characteristic of muscle artifact components."
SavedFiles/0206_VDaudio_ICA.set,68,channel_noise,brain,muscle,0.85,"The topography shows an edge-focused, lateralized pattern, and the power spectrum has a positive slope at high frequencies, both characteristic of muscle artifact components."
SavedFiles/0206_VDaudio_ICA.set,77,muscle,muscle,brain,0.8,"The topography shows a dipolar pattern over central/parietal regions, and the power spectrum displays a 1/f shape with some peaks in the 6-35Hz range, which are characteristic of brain components. There is no clear evidence of eye, muscle, heart, line noise, or channel noise artifacts."
SavedFiles/0206_VDaudio_ICA.set,91,other_artifact,brain,brain,0.85,"The component shows a dipolar central/parietal topography, and the power spectrum displays a 1/f pattern with no sharp peaks at 50/60Hz or high-frequency slopes. There are no clear signs of eye, muscle, heart, line noise, or channel noise artifacts."
SavedFiles/0206_VDaudio_ICA.set,93,eye,brain,muscle,0.95,"The topography shows a focal, edge-focused pattern, and the power spectrum displays a positive slope at high frequencies, both of which are characteristic of muscle artifacts."
SavedFiles/0206_VDaudio_ICA.set,103,channel_noise,brain,channel_noise,0.95,"The topography shows a single isolated focal spot with no clear dipolar pattern, which is characteristic of channel noise. The spectrum and time series do not show features typical of brain, eye, muscle, heart, or line noise components."
SavedFiles/0206_VDaudio_ICA.set,105,other_artifact,brain,brain,0.85,"The topography shows a dipolar pattern centered in the central/parietal region. The power spectrum displays a 1/f shape with no sharp peaks at 50/60Hz, and possible activity in the 6-35Hz range. There are no clear signs of eye, muscle, heart, line noise, channel noise, or other artifact characteristics."
SavedFiles/0206_VDnoaudio_ICA.set,1,heart,eye,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with clear peaks in the 6-35Hz range, consistent with typical brain activity. No strong low-frequency dominance, edge-focused topography, or sharp 50/60Hz peaks are present."
SavedFiles/0206_VDnoaudio_ICA.set,2,heart,eye,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with possible peaks in the 6-35Hz range, and there is no evidence of strong low-frequency dominance, sharp line noise peaks, or edge-focused muscle activity. The time series does not show clear rhythmic ~1Hz heartbeats or isolated channel noise patterns."
SavedFiles/0206_VDnoaudio_ICA.set,18,eye,eye,eye,0.95,"The topography shows a strong dipolar pattern focused at the frontal/periocular region, which is characteristic of eye-related artifacts. The power spectrum is dominated by low frequencies, further supporting this classification."
SavedFiles/0206_VDnoaudio_ICA.set,24,channel_noise,muscle,eye,0.95,"The topography shows a strong dipolar pattern focused at the frontal/periocular region, which is characteristic of eye-related artifacts. The power spectrum is dominated by low frequencies, further supporting this classification."
SavedFiles/0206_VDnoaudio_ICA.set,32,brain,brain,brain,0.85,"The component shows a dipolar central/parietal topography, and the power spectrum has a 1/f shape with a peak around 10 Hz (likely alpha) and some activity in the 6-35 Hz range. There are no strong signs of eye, muscle, heart, line noise, or channel noise artifacts."
SavedFiles/0206_VDnoaudio_ICA.set,35,channel_noise,channel_noise,eye,0.95,"The topography shows a strong, dipolar pattern focused at the frontal/periocular region, which is characteristic of eye-related artifacts (e.g., blinks or saccades). The power spectrum is dominated by low frequencies, further supporting the classification as an eye artifact."
SavedFiles/0206_VDnoaudio_ICA.set,58,channel_noise,channel_noise,muscle,0.95,"The topography shows a focal, edge-concentrated pattern on the right side of the head, which is typical for muscle artifacts. The power spectrum displays a positive slope at high frequencies, consistent with muscle activity, and there is no clear dipolar pattern or low-frequency dominance that would indicate eye or brain activity."
SavedFiles/0206_VDnoaudio_ICA.set,74,muscle,muscle,eye,0.95,"The topography shows a strong dipolar pattern focused over the frontal/periocular area, and the power spectrum is dominated by low frequencies. These features are characteristic of eye-related artifacts such as blinks or saccades."
SavedFiles/0206_VDnoaudio_ICA.set,81,eye,eye,eye,0.95,"The topography shows a strong dipolar pattern focused frontally, which is characteristic of eye-related artifacts (e.g., blinks or saccades). The power spectrum is dominated by low frequencies, further supporting the classification as an eye component."
SavedFiles/0206_VDnoaudio_ICA.set,87,channel_noise,brain,brain,0.8,"The component shows a dipolar topography centered over the central/parietal region, and the power spectrum displays a 1/f pattern with possible peaks in the 6-35Hz range. There is no evidence of strong low-frequency dominance (eye), high-frequency slope (muscle), sharp 50/60Hz peak (line_noise), or isolated focal spot (channel_noise)."
SavedFiles/0206_VDnoaudio_ICA.set,88,eye,brain,eye,0.95,"The topography shows a strong frontal dipole pattern, and the power spectrum is dominated by low frequencies, both of which are characteristic of eye-related artifacts (e.g., blinks or saccades)."
SavedFiles/0206_VDnoaudio_ICA.set,91,eye,eye,brain,0.85,"The topography shows a dipolar pattern centered over the central/parietal region. The power spectrum displays a 1/f shape with no prominent muscle or line noise peaks, and there are no strong low-frequency or ~1Hz rhythmic deflections indicative of eye or heart artifacts. The spatial pattern and spectral features are consistent with neural (brain) activity."
SavedFiles/0206_VDnoaudio_ICA.set,93,other_artifact,brain,muscle,0.95,"The topography shows a strong, focal edge pattern, and the power spectrum has a positive slope at high frequencies, both characteristic of muscle artifact."
SavedFiles/0589_VDAudio_ICA.set,7,eye,eye,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no sharp peaks at 50/60Hz, and possible activity in the 6-35Hz range. No clear signs of eye, muscle, heart, line, or channel noise artifacts are present."
SavedFiles/0589_VDAudio_ICA.set,17,brain,brain,brain,0.85,"The topography shows a clear dipolar pattern centered over central/parietal regions. The power spectrum exhibits a 1/f shape with visible peaks in the 6-20Hz range, and there is no evidence of sharp line noise, muscle, eye, or heart artifact characteristics."
SavedFiles/0589_VDAudio_ICA.set,28,brain,muscle,brain,0.85,"The topography is broadly dipolar and central/parietal, the power spectrum shows a 1/f distribution with no sharp muscle or line noise peaks, and there are no clear low-frequency or ~1Hz rhythmic deflections. This fits the typical pattern of a brain component."
SavedFiles/0589_VDAudio_ICA.set,101,other_artifact,brain,channel_noise,0.95,"The topography shows a single isolated focal spot at the edge of the scalp, with no clear dipolar pattern. The power spectrum does not show typical brain, muscle, or eye artifact features, and the time series is unremarkable. These are characteristic of channel noise."
SavedFiles/0589_VDAudio_ICA.set,104,muscle,brain,brain,0.85,"The topography shows a dipolar pattern centered near the central/parietal region. The power spectrum displays a 1/f shape with visible peaks in the 6-35Hz range, and there is no evidence of sharp line noise, muscle artifact, or eye-related low-frequency dominance."
SavedFiles/0589_VDAudio_ICA.set,112,other_artifact,brain,brain,0.85,"The topography shows a dipolar pattern that is centrally located, and the power spectrum displays a 1/f shape with no sharp peaks at 50/60Hz or strong high-frequency slopes. There are no clear signs of eye, muscle, heart, or channel noise artifacts."
SavedFiles/0589_VDAudio_ICA.set,113,channel_noise,brain,eye,0.95,"The topography shows a strong frontal dipolar pattern centered above the eyes, and the power spectrum is dominated by low frequencies, both characteristic of eye-related ICA components."
SavedFiles/0589_VDAudio_ICA.set,115,channel_noise,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no dominant high-frequency or low-frequency peaks, and there are possible peaks in the 6-35Hz range. There is no evidence of muscle (no high-frequency slope), eye (not frontal), heart (~1Hz), line noise (no sharp 50/60Hz peak), or channel noise (not focal)."
SavedFiles/0604_VDaudio_ICA.set,2,heart,eye,brain,0.85,"The ICA component shows a dipolar central/parietal topography, a 1/f power spectrum with a peak around 6-10 Hz, and no strong evidence of artifact patterns such as eye, muscle, heart, line noise, or channel noise. The spectral slope and topography are consistent with typical brain activity."
SavedFiles/0604_VDaudio_ICA.set,4,eye,brain,brain,0.95,"The topography shows a clear dipolar pattern centered over the central/parietal region. The power spectrum displays a 1/f shape with possible peaks in the 6-15 Hz range, and there is no evidence of low-frequency dominance, high-frequency slope, or sharp line noise. The component does not match eye, muscle, heart, line_noise, channel_noise, or other_artifact categories."
SavedFiles/0604_VDaudio_ICA.set,24,brain,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no sharp peaks at 50/60Hz, no dominant low-frequency or high-frequency slopes, and no ~1Hz rhythmicity. These features are characteristic of a brain-related ICA component."
SavedFiles/0604_VDaudio_ICA.set,34,brain,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no sharp peaks at 50/60Hz or high-frequency slopes, and there are no clear low-frequency dominance or rhythmic ~1Hz deflections. These features are characteristic of a brain-related ICA component."
SavedFiles/0604_VDaudio_ICA.set,46,muscle,brain,muscle,0.95,"The topography shows a focal edge pattern, the power spectrum is relatively flat with a positive slope at high frequencies, and there is no clear 1/f shape or low-frequency dominance. These are characteristic features of muscle artifact."
SavedFiles/0604_VDaudio_ICA.set,51,muscle,channel_noise,muscle,0.95,"The topography shows a strong, focal, edge-focused pattern near the temporal region, which is typical for muscle artifacts. The power spectrum displays a relatively flat or positive slope at higher frequencies, which is characteristic of muscle activity. There are no clear low-frequency peaks (eye), rhythmic ~1Hz deflections (heart), or sharp 50/60Hz peaks (line noise)."
SavedFiles/0604_VDaudio_ICA.set,61,other_artifact,brain,eye,0.95,"The topography shows a strong dipolar pattern focused on the frontal region, which is characteristic of eye-related activity. The power spectrum is dominated by low frequencies, and there are no sharp peaks at 50/60Hz or high-frequency slopes. The time series does not show rhythmic heart-like activity or isolated channel noise. These features are consistent with eye artifacts."
SavedFiles/0604_VDaudio_ICA.set,79,other_artifact,muscle,eye,0.98,"The topography shows a strong frontal/periocular dipolar pattern, which is characteristic of eye-related artifacts. The power spectrum is dominated by low frequencies, further supporting the classification as an eye component."
SavedFiles/0604_VDaudio_ICA.set,83,muscle,brain,muscle,0.95,"The ICA topography shows an edge-focused pattern on the left side of the head, and the power spectrum displays a positive slope at high frequencies, both characteristic of muscle artifacts."
SavedFiles/0604_VDaudio_ICA.set,93,channel_noise,brain,channel_noise,0.95,"The topography shows a single isolated focal spot without a clear dipolar pattern, and the power spectrum does not indicate typical brain, muscle, eye, heart, or line noise features. This is characteristic of channel noise."
SavedFiles/0604_VDaudio_ICA.set,99,other_artifact,brain,brain,0.85,"The topography shows a dipolar pattern centered over the central/parietal region. The power spectrum displays a 1/f shape with no prominent muscle, line noise, or heart-related features. There is no strong low-frequency dominance or edge-focused topography, and the component does not fit channel noise or other artifact categories."
SavedFiles/0604_VDaudio_ICA.set,103,muscle,brain,brain,0.85,"The ICA component shows a dipolar topography centered over the central/parietal region, and the power spectrum displays a 1/f shape with a possible peak around 10 Hz (alpha range). There are no strong low-frequency or high-frequency artifacts, nor sharp peaks at 50/60Hz, and the time series does not show rhythmic heart-like activity or isolated channel noise."
SavedFiles/0604_VDaudio_ICA.set,107,channel_noise,brain,brain,0.85,"The topography shows a clear dipolar pattern over the central/parietal region. The power spectrum displays a 1/f shape with no dominant high-frequency muscle activity or sharp line noise peaks. There is no clear evidence of eye, heart, or channel noise artifacts."
SavedFiles/0837_VDAudio_ICA.set,4,heart,heart,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with peaks in the 6-15Hz range, consistent with brain activity. No strong evidence for eye, muscle, heart, line noise, or channel noise artifacts."
SavedFiles/0837_VDAudio_ICA.set,21,brain,brain,brain,0.85,"The component shows a dipolar central/parietal topography and a 1/f spectral profile with no sharp peaks at 50/60Hz, no dominant low-frequency activity, and no edge-focused topography. The power spectrum has a gradual decline and possible peaks in the 6-35Hz range, consistent with brain activity."
SavedFiles/0837_VDAudio_ICA.set,67,other_artifact,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions, and the power spectrum displays a 1/f shape with possible peaks in the 6-35Hz range, which are characteristic features of brain-related ICA components."
SavedFiles/0837_VDAudio_ICA.set,98,other_artifact,brain,brain,0.85,"The topography shows a dipolar pattern that is not strictly frontal or edge-focused, and the power spectrum displays a 1/f shape with no sharp line noise or strong high-frequency slope. There are possible peaks in the 6-35Hz range, and no clear signs of eye, muscle, heart, or channel noise artifacts."
SavedFiles/0837_VDAudio_ICA.set,117,channel_noise,brain,brain,0.85,"The component shows a dipolar central/parietal topography, a 1/f spectral slope, and no sharp peaks at 50/60Hz or high-frequency muscle activity. The spectrum has possible low-frequency peaks and the time series lacks rhythmic heart or eye movement patterns."
SavedFiles/0837_VDNoAudio_ICA.set,5,heart,muscle,brain,0.85,"The topography is broadly dipolar and central/parietal, the power spectrum shows a 1/f pattern with some peaks in the 6-15 Hz range, and there are no clear signs of artifacts such as eye (frontal), muscle (high-frequency), heart (~1 Hz), line noise (50/60 Hz), or channel noise (focal spot)."
SavedFiles/0837_VDNoAudio_ICA.set,21,brain,brain,brain,0.85,"The ICA component shows a dipolar central/parietal topography, and the power spectrum displays a 1/f pattern with no sharp peaks at 50/60Hz or dominant low-frequency activity. There are no signs of muscle, eye, heart, or channel noise artifacts."
SavedFiles/0837_VDNoAudio_ICA.set,57,channel_noise,brain,eye,0.95,"The topography shows a strong dipolar pattern focused at the frontal/periocular region, which is characteristic of eye-related artifacts. The power spectrum is dominated by low frequencies, further supporting this classification."
SavedFiles/1846_VDnoaudio_ICA.set,7,heart,channel_noise,brain,0.85,"The ICA topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with a peak around 10 Hz (alpha) and possibly some activity in the beta range (15-25 Hz), which are characteristic of brain components. There are no strong features indicating eye, muscle, heart, line noise, or channel noise artifacts."
SavedFiles/2319_VDaudio_ICA.set,3,heart,muscle,brain,0.85,"The topography shows a dipolar pattern over central/parietal regions. The power spectrum displays a 1/f shape with possible peaks in the 6-15 Hz range, and there is no evidence of strong low-frequency dominance (eye), high-frequency slope (muscle), or sharp line noise. The time series and trial plots do not show clear heart or channel noise artifacts."
SavedFiles/2319_VDaudio_ICA.set,5,muscle,brain,muscle,0.9,"The topography shows an edge-focused, lateralized pattern, and the power spectrum displays a positive slope at high frequencies (above 20 Hz), both characteristic of muscle artifact components."
SavedFiles/2818_VDnoaudio_ICA.set,3,brain,brain,brain,0.95,"The topography shows a dipolar pattern centered over central/parietal regions, and the power spectrum displays a 1/f shape with a clear peak around 10 Hz (alpha) and a possible smaller peak around 20 Hz (beta), which are characteristic of neural (brain) components."
SavedFiles/2818_VDnoaudio_ICA.set,7,heart,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum exhibits a 1/f shape with some peaks in the 6-35Hz range, and there are no sharp line noise peaks or edge-focused patterns. The time series and trial segments do not show rhythmic heart or eye movement artifacts."
SavedFiles/2818_VDnoaudio_ICA.set,12,brain,brain,brain,0.9,"The topography shows a clear dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with a peak around 10 Hz (alpha) and possible activity in the 6-35 Hz range, consistent with typical brain ICs. There are no features indicative of eye, muscle, heart, line noise, or channel noise artifacts."
SavedFiles/2818_VDnoaudio_ICA.set,20,brain,brain,brain,0.9,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no dominant low-frequency or high-frequency artifact peaks, and there are no clear signs of muscle, eye, heart, line, or channel noise artifacts."
